City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,solnechnyy,50.7214,136.6319,41.02,73,100,9.15,RU,1618095153
173,mwinilunga,-11.7358,24.4293,58.98,95,93,2.35,ZM,1618095154
174,esperance,-33.8667,121.9,57.2,88,98,12.66,AU,1618094878
175,torbay,47.6666,-52.7314,33.01,100,90,9.22,CA,1618095154
176,ilulissat,69.2167,-51.1,21.2,79,90,3.44,GL,1618095105
177,bosaso,11.2842,49.1816,79.63,55,0,11.34,SO,1618095155
178,angoche,-16.2325,39.9086,76.17,88,100,5.59,MZ,1618095155
179,konibodom,40.2843,70.4426,53.6,62,0,8.95,TJ,1618095156
180,mosquera,4.7059,-74.2302,64.4,52,40,10.36,CO,1618094980
181,makubetsu,45.3714,141.8211,43.21,75,7,20.78,JP,1618095156
182,burnie,-41.0667,145.9167,46.0,76,39,28.99,AU,1618095156
183,cristalina,-16.7686,-47.6136,60.13,79,0,3.71,BR,1618095071
184,sao joao da barra,-21.6403,-41.0511,74.61,66,1,8.75,BR,1618095157
185,beringovskiy,63.05,179.3167,7.93,92,100,22.44,RU,1618095157
186,ahipara,-35.1667,173.1667,71.83,69,5,2.93,NZ,1618095157
187,san juan,-31.5375,-68.5364,54.05,75,100,14.18,AR,1618095158
188,hammerfest,70.6634,23.6821,33.8,60,75,17.27,NO,1618095159
189,chihuahua,28.5,-106.0,87.8,8,1,3.44,MX,1618094868
190,bud,39.447,-86.1758,57.99,90,100,13.22,US,1618095159
191,konitsa,40.0486,20.7567,41.0,81,23,2.64,GR,1618095159
192,dagda,56.0951,27.5372,38.1,91,100,3.18,LV,1618095159
193,sasaram,24.951,84.0149,78.22,13,19,3.91,IN,1618095160
194,nanortalik,60.1432,-45.2371,34.84,86,87,11.43,GL,1618095160
195,bilibino,68.0546,166.4372,1.74,65,98,3.74,RU,1618095160
196,namibe,-15.1961,12.1522,78.75,71,27,4.23,AO,1618095160
197,saint anthony,45.0205,-93.218,48.2,66,90,13.8,US,1618095161
198,pemba,-12.974,40.5178,75.87,90,100,10.0,MZ,1618095161
199,clyde river,70.4692,-68.5914,30.2,55,90,10.36,CA,1618095161
200,necochea,-38.5473,-58.7368,57.99,92,100,4.0,AR,1618095161
201,beloha,-25.1667,45.05,69.73,97,5,5.66,MG,1618095162
202,aksha,50.2814,113.2867,29.86,44,100,10.45,RU,1618095162
203,ginir,7.1333,40.7,59.54,71,98,4.59,ET,1618095162
204,el paujil,1.5701,-75.3286,74.34,90,47,4.43,CO,1618095163
205,rancagua,-34.1708,-70.7444,64.4,48,0,8.05,CL,1618094902
206,tiksi,71.6872,128.8694,-8.66,93,41,5.59,RU,1618095163
207,arraial do cabo,-22.9661,-42.0278,76.39,64,0,13.02,BR,1618095163
208,say,13.1007,2.3689,91.4,6,0,5.75,NE,1618095166
209,mumford,5.2618,-0.759,80.8,87,61,8.72,GH,1618095167
210,sakakah,29.9697,40.2064,57.2,33,0,12.66,SA,1618095167
211,vuktyl,63.8567,57.3094,31.17,93,11,8.52,RU,1618095167
212,ende,-8.8432,121.6623,78.01,84,60,0.54,ID,1618095167
213,imbituba,-28.24,-48.6703,77.0,88,0,2.3,BR,1618095168
214,birjand,32.8663,59.2211,55.4,18,0,6.91,IR,1618095168
215,kirovskiy,45.0917,133.5136,44.55,48,41,9.73,RU,1618095168
216,labuhan,-6.8844,112.2051,77.79,88,83,6.46,ID,1618095168
217,tiznit,29.5833,-9.5,55.24,79,24,4.85,MA,1618095169
218,batagay-alyta,67.8006,130.4114,-5.66,76,4,4.68,RU,1618095169
219,carnduff,49.1667,-101.8009,66.99,19,20,10.0,CA,1618095169
220,dingle,10.9995,122.6711,78.1,81,59,6.78,PH,1618095169
221,vanavara,60.34,102.2797,7.54,95,20,3.49,RU,1618095170
222,iquique,-20.2208,-70.1431,68.0,60,20,12.66,CL,1618095170
223,tual,-5.6667,132.75,83.46,62,100,7.58,ID,1618095170
224,lebu,-37.6167,-73.65,53.19,85,0,9.46,CL,1618095170
225,mustasaari,63.1142,21.6822,32.0,100,0,5.75,FI,1618095055
226,zhezkazgan,47.8043,67.7144,38.8,68,8,24.65,KZ,1618095171
227,naliya,23.2667,68.8333,76.8,68,0,7.94,IN,1618095171
228,smolenka,52.1352,113.4974,23.0,46,100,8.95,RU,1618095171
229,los llanos de aridane,28.6585,-17.9182,66.2,72,0,5.75,ES,1618095171
230,iqaluit,63.7506,-68.5145,23.0,86,90,19.57,CA,1618095172
231,nago,26.5881,127.9761,69.8,73,1,19.57,JP,1618094891
232,norman wells,65.282,-126.8329,-5.8,71,90,8.05,CA,1618095172
233,bambous virieux,-20.3428,57.7575,80.01,83,75,12.66,MU,1618095172
234,puerto del rosario,28.5004,-13.8627,66.2,68,0,9.22,ES,1618095172
235,blairmore,49.6,-114.4353,35.01,69,88,9.22,CA,1618095173
236,mareeba,-17.0,145.4333,82.0,83,75,3.44,AU,1618095173
237,port-gentil,-0.7193,8.7815,82.24,77,89,0.49,GA,1618095173
238,ormara,25.2088,64.6357,78.8,64,0,12.57,PK,1618095173
239,vostok,46.4856,135.8833,41.45,46,73,5.37,RU,1618095174
240,evensk,61.95,159.2333,12.7,67,45,9.06,RU,1618095174
241,katsuura,35.1333,140.3,53.01,62,20,9.22,JP,1618095174
242,lagoa,39.05,-27.9833,59.59,94,100,20.49,PT,1618095174
243,kaohsiung,22.6163,120.3133,71.01,78,40,4.61,TW,1618095175
244,douentza,14.9951,-2.9517,86.88,8,0,5.59,ML,1618095175
245,naze,28.3667,129.4833,66.2,63,20,18.41,JP,1618095175
246,cayeli,41.0923,40.7292,45.0,87,100,2.86,TR,1618095175
247,lavrentiya,65.5833,-171.0,-1.59,78,100,17.85,RU,1618095176
248,luanda,-8.8368,13.2343,78.8,83,75,5.75,AO,1618094994
249,dunmore town,25.5,-76.65,76.01,68,78,14.47,BS,1618095176
250,talakan,50.3167,130.3667,39.13,72,98,9.08,RU,1618095176
251,cajamarca,-7.1638,-78.5003,54.45,92,100,1.66,PE,1618095157
252,praia da vitoria,38.7333,-27.0667,61.0,100,75,19.77,PT,1618095176
253,bilma,18.6853,12.9164,84.51,7,89,9.82,NE,1618095177
254,bathsheba,13.2167,-59.5167,78.8,65,20,6.91,BB,1618095177
255,mar del plata,-38.0023,-57.5575,66.2,82,90,16.11,AR,1618095177
256,kiunga,-6.1219,141.2906,76.78,92,89,2.77,PG,1618095177
257,visnes,59.3556,5.2242,30.2,93,20,6.91,NO,1618095178
258,coruripe,-10.1256,-36.1756,77.2,86,48,7.61,BR,1618095178
259,kenai,60.5544,-151.2583,23.0,35,1,9.22,US,1618095178
260,cabo rojo,18.0866,-67.1457,80.01,70,41,1.01,PR,1618095178
261,wuzhou,23.4833,111.3167,67.75,85,77,2.48,CN,1618095179
262,irece,-11.3042,-41.8558,71.04,75,58,12.68,BR,1618095179
263,ilam,26.9167,87.9167,63.28,21,0,6.93,NP,1618095179
264,luderitz,-26.6481,15.1594,72.45,53,0,7.63,NA,1618095179
265,manaure,11.7751,-72.4445,84.58,60,81,15.82,CO,1618095180
266,petropavlovsk-kamchatskiy,53.0452,158.6483,33.8,51,0,6.71,RU,1618095181
267,san cristobal,7.7669,-72.225,86.0,62,40,10.36,VE,1618095181
268,kupang,-10.1667,123.5833,78.1,87,58,2.82,ID,1618095181
269,longyearbyen,78.2186,15.6401,21.2,68,75,19.57,SJ,1618095182
270,marabba,12.35,32.1833,87.1,9,85,14.92,SD,1618095182
271,eyl,7.9803,49.8164,78.31,70,2,8.16,SO,1618095182
272,andenes,69.3143,16.1194,35.6,87,75,21.85,NO,1618095182
273,moissala,8.3404,17.7663,82.76,41,70,1.81,TD,1618095183
274,atasu,48.6814,71.6433,37.08,60,52,20.27,KZ,1618095183
275,guilin,25.2819,110.2864,57.2,100,75,1.28,CN,1618095183
276,codrington,-38.2667,141.9667,52.48,64,100,21.88,AU,1618095183
277,vardo,70.3705,31.1107,19.4,68,0,23.02,NO,1618095184
278,robertsganj,24.7,83.0667,76.87,13,4,2.64,IN,1618095184
279,nieuw amsterdam,5.8833,-55.0833,82.4,78,20,9.22,SR,1618095184
280,pavilosta,56.8879,21.1859,33.8,93,48,3.44,LV,1618095184
281,muhos,64.808,25.9931,30.2,86,0,8.05,FI,1618095185
282,male,4.1748,73.5089,84.2,84,20,8.05,MV,1618095010
283,xining,36.6167,101.7667,37.09,88,100,0.63,CN,1618095185
284,soledar,48.6794,38.089,43.63,64,95,7.16,UA,1618095185
285,troitskoye,52.9821,84.6757,26.55,88,4,8.23,RU,1618095187
286,ambilobe,-13.2,49.05,72.52,92,99,3.11,MG,1618095143
287,sinnamary,5.3833,-52.95,78.26,84,76,7.14,GF,1618095187
288,dayong,25.0209,118.2898,64.4,68,0,2.24,CN,1618095187
289,ankpa,7.3706,7.6253,77.74,70,99,10.22,NG,1618095187
290,kalengwa,-13.4659,25.0027,58.32,75,2,3.89,ZM,1618095188
291,artyom,40.4723,50.333,48.2,87,0,23.02,AZ,1618095188
292,teguldet,57.3064,88.1667,26.29,95,57,1.34,RU,1618095188
293,shakawe,-18.3667,21.85,62.11,46,0,4.27,BW,1618095188
294,raja sansi,31.7192,74.7978,62.6,59,20,5.88,IN,1618095189
295,bac lieu,9.285,105.7244,81.07,77,20,14.16,VN,1618095189
296,bubaque,11.2833,-15.8333,77.32,72,18,16.42,GW,1618095189
297,ardesen,41.1911,40.9875,44.6,93,75,5.75,TR,1618095189
298,okahandja,-21.9833,16.9167,66.0,51,0,6.91,NA,1618095190
299,alofi,-19.0595,-169.9187,82.4,78,6,5.75,NU,1618095190
300,baykit,61.67,96.37,11.46,98,81,1.5,RU,1618095190
301,altay,47.8667,88.1167,33.24,39,0,11.1,CN,1618095191
302,pedernales,18.0384,-71.744,78.71,67,79,10.04,DO,1618095191
303,severo-yeniseyskiy,60.3725,93.0408,20.57,96,73,3.74,RU,1618095191
304,belaya gora,68.5333,146.4167,-12.35,92,82,2.89,RU,1618095191
305,puke,42.0444,19.8997,36.52,74,7,0.49,AL,1618095191
306,nushki,29.5542,66.0215,70.56,15,3,4.16,PK,1618095192
307,cacu,-18.5567,-51.1308,73.45,47,0,5.28,BR,1618095132
308,berlevag,70.8578,29.0864,19.4,68,0,23.02,NO,1618095192
309,namatanai,-3.6667,152.4333,80.94,82,98,8.34,PG,1618094907
310,narsaq,60.9167,-46.05,39.2,70,27,5.75,GL,1618095192
311,poum,-20.2333,164.0167,79.12,80,95,12.75,NC,1618095193
312,dali,25.7,100.1833,52.34,73,5,4.63,CN,1618095193
313,atikokan,48.7555,-91.6216,40.24,85,100,5.23,CA,1618095193
